BinCenter (ps);Histo01;Histo02;Histo03;Histo04
934.5;0;0;25;62
935.5;0;0;25;65
936.5;0;0;29;54
937.5;0;0;38;73
938.5;0;0;29;68
939.5;0;0;34;72
940.5;0;0;19;81
941.5;0;0;34;78
942.5;0;0;19;95
943.5;0;0;21;102
944.5;0;0;33;100
945.5;0;0;21;128
946.5;0;0;32;105
947.5;0;0;30;100
948.5;0;0;22;121
949.5;0;0;25;127
950.5;0;0;22;111
951.5;0;0;43;109
952.5;0;0;31;121
953.5;0;0;26;118
954.5;0;0;28;124
955.5;0;0;34;121
956.5;0;0;33;134
957.5;0;0;26;127
958.5;0;0;19;123
959.5;0;0;27;126
960.5;0;0;29;120
961.5;0;0;39;115
962.5;0;0;26;89
963.5;0;0;28;106
964.5;0;0;34;136
965.5;0;0;31;97
966.5;0;0;27;90
967.5;0;0;23;102
968.5;0;0;23;82
969.5;0;0;25;100
970.5;0;0;30;76
971.5;0;0;21;86
972.5;0;0;35;76
973.5;0;0;31;87
974.5;0;0;27;76
975.5;0;0;26;75
976.5;0;0;36;83
977.5;0;0;28;67
978.5;0;0;25;60
979.5;0;0;31;58
980.5;0;0;29;55
981.5;0;0;25;39
982.5;0;0;29;48
983.5;0;0;20;64
984.5;0;0;30;47
985.5;0;0;28;42
986.5;0;0;26;38
987.5;0;0;28;33
988.5;0;1;25;39
989.5;0;0;39;43
990.5;0;0;25;38
991.5;0;0;32;40
992.5;0;0;26;39
993.5;0;0;28;33
994.5;0;0;28;29
995.5;0;0;27;45
996.5;0;0;23;37
997.5;0;0;34;29
998.5;0;0;23;43
999.5;0;0;22;43
1000.5;0;0;28;27
1001.5;0;0;24;42
1002.5;0;0;31;37
1003.5;0;0;28;31
1004.5;0;0;26;39
1005.5;0;0;21;46
1006.5;0;0;27;34
1007.5;0;0;16;40
1008.5;0;0;29;36
1009.5;0;0;27;48
1010.5;0;0;27;53
1011.5;0;0;36;37
1012.5;0;0;28;42
1013.5;0;0;20;58
1014.5;0;0;33;42
1015.5;0;0;32;30
1016.5;0;0;39;44
1017.5;0;0;33;42
1018.5;0;0;29;47
1019.5;0;0;26;58
1020.5;0;0;30;39
1021.5;0;0;33;38
1022.5;0;0;33;42
1023.5;0;0;28;46
1024.5;0;0;34;39
1025.5;0;0;33;55
1026.5;0;0;30;56
1027.5;0;0;31;48
1028.5;0;0;24;59
1029.5;0;0;22;40
1030.5;0;0;32;38
1031.5;0;0;27;38
1032.5;0;0;32;61
1033.5;0;0;25;58
1034.5;0;0;34;51
1035.5;0;0;34;59
1036.5;0;0;30;48
1037.5;0;0;31;52
1038.5;0;0;25;58
1039.5;0;0;30;37
1040.5;0;0;37;67
1041.5;0;0;30;61
1042.5;0;0;28;61
1043.5;0;0;28;46
1044.5;0;0;26;51
1045.5;0;0;25;57
1046.5;0;0;25;61
1047.5;0;0;43;49
1048.5;0;0;35;63
1049.5;0;0;38;67
1050.5;0;0;39;58
1051.5;0;0;29;59
1052.5;0;0;37;55
1053.5;0;0;38;44
1054.5;0;0;46;57
1055.5;0;0;35;73
1056.5;0;0;37;63
1057.5;0;0;55;63
1058.5;0;0;43;61
1059.5;0;0;41;67
1060.5;0;0;42;72
1061.5;0;0;55;56
1062.5;0;0;46;71
1063.5;0;0;59;55
1064.5;0;0;60;51
1065.5;0;0;59;49
1066.5;0;0;73;57
1067.5;0;0;71;43
1068.5;0;0;74;40
1069.5;0;0;82;42
1070.5;0;0;68;53
1071.5;0;0;87;57
1072.5;0;0;91;48
1073.5;0;0;94;44
1074.5;0;0;106;45
1075.5;0;0;93;42
1076.5;0;0;115;41
1077.5;0;0;114;58
1078.5;0;0;115;43
1079.5;0;0;111;52
1080.5;0;0;96;54
1081.5;0;0;121;48
1082.5;0;0;104;39
1083.5;0;0;136;44
1084.5;0;0;141;43
1085.5;0;0;123;44
1086.5;0;0;110;54
1087.5;0;0;134;44
1088.5;0;0;125;36
1089.5;0;0;118;49
1090.5;0;0;126;64
1091.5;0;0;105;42
1092.5;0;0;129;45
1093.5;0;0;126;46
1094.5;0;0;103;52
1095.5;0;0;116;48
1096.5;0;0;90;37
1097.5;0;0;92;44
1098.5;0;0;80;51
1099.5;0;0;90;40
1100.5;0;0;94;45
1101.5;0;0;82;42
1102.5;0;0;70;51
1103.5;0;0;92;43
1104.5;0;0;81;46
1105.5;0;0;85;53
1106.5;0;0;74;48
1107.5;0;0;80;39
1108.5;0;0;68;48
1109.5;0;0;57;61
1110.5;0;0;55;49
1111.5;0;0;74;50
1112.5;0;0;59;49
1113.5;0;0;63;33
1114.5;0;0;50;51
1115.5;0;0;43;49
1116.5;0;0;61;57
1117.5;0;0;49;42
1118.5;0;0;42;55
1119.5;0;0;45;51
1120.5;0;0;35;46
1121.5;0;0;43;43
1122.5;1;0;35;50
1123.5;0;0;44;46
1124.5;0;0;37;42
1125.5;0;0;38;57
1126.5;0;0;43;43
1127.5;0;0;37;60
1128.5;0;0;38;58
1129.5;0;0;32;45
1130.5;0;0;40;47
1131.5;0;0;39;41
1132.5;0;0;58;48
1133.5;0;0;38;51
1134.5;0;0;45;51
1135.5;0;0;33;46
1136.5;0;0;35;45
1137.5;0;0;42;52
1138.5;0;0;39;51
1139.5;0;0;30;38
